n; pi Leibniz; pi Euler; pi Wallis 
1;2.895238095238095;2.449489742783178;2.6666666666666665
2;2.976046176046176;2.7386127875258306;2.844444444444444
3;3.017071817071817;2.8577380332470415;2.9257142857142853
4;3.041839618929402;2.9226129861250305;2.972154195011337
5;3.0584027659273314;2.9633877010385707;3.0021759545569062
6;3.070254617779183;2.9913764947484185;3.0231701920013605
7;3.0791533941974256;3.011773947846214;3.038673628883419
8;3.0860798011238324;3.027297856657843;3.0505899960555105
9;3.091623806667838;3.0395075895610533;3.06003454712689
10;3.0961615264636406;3.04936163598207;3.0677038066434985
11;3.099944032373806;3.0574815067075627;3.074055160280442
12;3.103145312886011;3.064287817833928;3.0794013431678864
13;3.1058897382719457;3.0700753718932203;3.083963419231839
14;3.1082685666989454;3.0750569155713614;3.087902069831113
15;3.110350273698685;3.079389826032086;3.09133688859622
16;3.112187242699833;3.0831930203394537;3.0943587232869296
17;3.1138202290235726;3.086558025753714;3.09703782174865
18;3.1152814162381843;3.089556434969781;3.0994293567461395
19;3.1165965567938314;3.092245052300697;3.101577263438271
20;3.117786501758877;3.094669524113704;3.103516961539233
21;3.1188683137940356;3.0968669499439283;3.105277322833356
22;3.1198560900627106;3.098867793222209;3.1068821173154406
23;3.1207615795929877;3.100697301395178;3.108351092311807
24;3.121594652591009;3.1023765763598083;3.1097007888347385
25;3.122363661530738;3.1039233917005755;3.110945166901499
26;3.1230757220558827;3.1053528239462542;3.1120960900117107
27;3.123736933726269;3.1066777454164556;3.1131637044508227
28;3.124352555119112;3.1079092128133925;3.1141567391252885
29;3.124927143928995;3.109056776410318;3.115082744697434
30;3.1254646699654125;3.1101287281412624;3.1159482858879586
31;3.1259686069732866;3.1111323022281687;3.1167590973076535
32;3.126442007766233;3.112073838611087;3.1175202106403295
33;3.1268875661065283;3.112958916985707;3.1182360591387543
34;3.127307667981233;3.113792467435733;3.1189105640185164
35;3.1277044343354463;3.1145788622931323;3.119547206305518
36;3.1280797568782566;3.1153219928400357;3.12014908691642
37;3.1284353282369834;3.116025333692319;3.120718977160606
38;3.1287726674737533;3.116691997112655;3.1212593613990753
39;3.12909314177572;3.1173247790439818;3.121772473245434
40;3.1293979849720013;3.117926198299378;3.1222603264214372
41;3.1296883134060423;3.1184985300665664;3.1227247411658103
42;3.1299651395937995;3.1190438346665714;3.1231673669264293
43;3.1302293840198936;3.1195639823326893;3.1235897019320986
44;3.130481885361307;3.1200606746377715;3.123993110133304
45;3.1307234093778513;3.1205354630870756;3.1243788359155156
46;3.1309546566679223;3.1209897653046594;3.124748016919405
47;3.13117626945498;3.1214248791690196;3.125101695246164
48;3.131388837543196;3.121841995194823;3.125440827280374
49;3.131592903558552;3.1222422074094722;3.1257662923253897
50;3.1317889675734527;3.1226265229337264;3.126078900215411
51;3.1319774911978193;3.122995870443018;3.1263793980429813
52;3.1321589012071165;3.1233511076591096;3.1266684761195456
53;3.1323335927673304;3.123693027999298;3.126946773269178
54;3.1325019323081844;3.1240223664916593;3.127214881540915
55;3.132664260088555;3.1243398050491447;3.1274733504128496
56;3.1328208924918832;3.1246459771821593;3.1277226905508084
57;3.132972124084163;3.1249414722181563;3.1279633771757065
58;3.133118229462667;3.125226839087383;3.1281958530863103
59;3.1332594649198287;3.125502589725938;3.1284205313778486
60;3.1333960699434784;3.1257692021405243;3.1286377978915914
61;3.1335282685719177;3.126027123173502;3.1288480134259524
62;3.1336562706199507;3.126276771001872;3.129051515735769
63;3.1337802727899886;3.126518537399598;3.1292486213430593
64;3.1339004596806035;3.1267527897890046;3.129439627179679
65;3.1340170047034026;3.1269798731038416;3.1296248120798023
66;3.1341300709178044;3.127200111483887;3.129804438138006
67;3.1342398117921646;3.1274138098185906;3.129978751946869
68;3.1343463718987246;3.127621255155218;3.130147985726374
69;3.134449887548997;3.1278227179851794;3.130312358355987
70;3.134550487375462;3.12801845342065;3.1304720763190645
71;3.1346482928647954;3.128208702272253;3.13062733456815
72;3.1347434188472683;3.1283936920373785;3.1307783173187924
73;3.1348359739464757;3.1285736378076576;3.1309251987786713
74;3.1349260609930845;3.1287487431032104;3.131068143818108
75;3.1350137774059217;3.128919200640468;3.131207308587378
76;3.13509921554337;3.1290851930396557;3.1313428410856936
77;3.135182463027735;3.129246893477402;3.1314748816862035
78;3.1352636030449776;3.12940446628937;3.131603563620935
79;3.135342714621968;3.1295580675273276;3.131729013429196
80;3.1354198728832063;3.129707845474619;3.131851351372609
81;3.135495149288758;3.129853941123617;3.1319706918196375
82;3.135568611854989;3.1299964886183926;3.1320871436021926
83;3.1356403253595384;3.13013561566552;3.1322008103466525
84;3.13571035153182;3.130271443915658;3.132311790781417
85;3.1357787492302376;3.1304040893183114;3.1324201790229056
86;3.1358455746071745;3.1305336624519415;3.132526064841755
87;3.135910881262739;3.1306602688314;3.132629533910784
88;3.1359747203881434;3.1307840091944903;3.132730668036172
89;3.1360371408995236;3.130904979769279;3.1328295453731676
90;3.136098189562939;3.131023272523667;3.132926240627508
91;3.13615791111122;3.1311389753985552;3.133020825243655
92;3.1362163483532743;3.131252172525874;3.133113367580835
93;3.13627354227642;3.1313629444325923;3.133203933077802
94;3.136329532142254;3.131471368231758;3.1332925844071484
95;3.136384355576531;3.131577517801512;3.133379381619936
96;3.13643804865348;3.131681463952958;3.133464382281348
97;3.1364906459749613;3.13178327458769;3.1335476415980024
98;3.136542180744826;3.1318830148456995;3.1336292125375205
99;3.1365926848388144;3.1319807472443624;3.1337091459408963
100;3.136642188870299;3.1320765318091053;3.133787490628162
101;3.136690722252166;3.1321704261963457;3.1338642934978194
102;3.1367383132550866;3.1322624858092176;3.1339395996204553
103;3.136784989062432;3.1323527639065847;3.1340134523269385
104;3.136830775822046;3.1324413117057803;3.134085893291558
105;3.1368756986950883;3.1325281784795016;3.134156962610438
106;3.1369197819021415;3.132613411647233;3.1342266988755427
107;3.136963048766754;3.1326970568615597;3.1342951392445544
108;3.137005521756587;3.132779158089708;3.1343623195068893
109;3.1370472225223174;3.1328597576906025;3.1344282741461065
110;3.1370881719344372;3.1329388964877394;3.1344930363989247
111;3.1371283901180833;3.1330166138381332;3.1345566383110732
112;3.137167896486016;3.133092947697577;3.1346191107901626
113;3.1372067097698624;3.1331679346824544;3.134680483655768
114;3.137244848049731;3.1332416101283025;3.1347407856868865
115;3.1372823287822915;3.1333140081453337;3.134800044666937
116;3.1373191688274207;3.13338516167109;3.1348582874264386
117;3.1373553844734854;3.1334551025204074;3.134915539883519
118;3.137390991461357;3.1335238614328493;3.1349718270823677
119;3.1374260050072227;3.13359146811775;3.135027173229766
120;3.1374604398242663;3.133657951297018;3.135081601729796
121;3.1374943101432824;3.1337233387458188;3.13513513521684
122;3.1375276297322854;3.133787657331267;3.135187795586962
123;3.1375604119151688;3.133850933049231;3.1352396040277712
124;3.137592669589471;3.1339131910593676;3.135290581046844
125;3.137624415243293;3.1339744557184743;3.135340746498788
126;3.137655660971416;3.1340347506122623;3.1353901196110265
127;3.1376864184906683;3.134094098585629;3.13543871900837
128;3.1377166991545717;3.1341525217715183;3.135486562736439
129;3.137746513967316;3.1342100416184393;3.135533668284007
130;3.137775873597091;3.134266678916722;3.135580052604312
131;3.1378047883888143;3.1343224538235694;3.1356257321354017
132;3.137833268376283;3.1343773858869777;3.135670722819556
133;3.137861323293784;3.1344314940685765;3.135715040121836
134;3.1378889625871857;3.134484796765453;3.135758699047808
135;3.137916195424541;3.134537311831008;3.1358017141604857
136;3.1379430307062277;3.134589056594888;3.135844099596521
137;3.1379694770746456;3.134640047882056;3.1358858690816973
138;3.137995542923496;3.134690302031031;3.1359270359457487
139;3.138021236406665;3.134739834911337;3.13596761313654
140;3.138046565446726;3.1347886619402168;3.1360076132336476
141;3.138071537743085;3.134836798098628;3.1360470484613585
142;3.1380961607797824;3.134884257946566;3.1360859307011264
143;3.138120441832973;3.13493105563775;3.1361242715035065
144;3.138144387978093;3.134977204933693;3.1361620820995966
145;3.1381680060967327;3.135022719217194;3.136199373412003
146;3.1381913028832322;3.135067611505279;3.136236156065363
147;3.138214284851006;3.135111894461609;3.1362724403964335
148;3.1382369583386134;3.1351555804083913;3.136308236463778
149;3.138259329515589;3.1351986813378128;3.1363435540570626
150;3.138281404388038;3.1352412089230115;3.1363784027059816
151;3.138303188804011;3.1352831745286194;3.1364127916888296
152;3.138324688458673;3.1353245892208856;3.1364467300407393
153;3.1383459088992627;3.135365463777407;3.136480226561592
154;3.138366855529866;3.1354058086964756;3.1365132898236285
155;3.138387533616006;3.1354456342060724;3.1365459281787604
156;3.138407948289052;3.1354849502725077;3.1365781497656045
157;3.138428104550469;3.1355237666087388;3.1366099625162485
158;3.1384480072758985;3.1355620926823686;3.1366413741627612
159;3.1384676612190936;3.135599937723344;3.1366723922434567
160;3.138487071015703;3.135637310731367;3.1367030241089267
161;3.1385062411869167;3.135674220483029;3.136733276927847
162;3.1385251761429758;3.1357106755386837;3.136763157692571
163;3.1385438801865564;3.1357466842490624;3.1367926732245186
164;3.1385623575160277;3.1357822547616565;3.1368218301793647
165;3.138580612228596;3.1358173950268577;3.1368506350520464
166;3.1385986483233306;3.1358521128038874;3.136879094181584
167;3.1386164697040866;3.135886415666503;3.136907213755733
168;3.138634080182321;3.135920311008512;3.136934999815468
169;3.1386514834798107;3.1359538060490797;3.136962458259309
170;3.1386686832312742;3.135986907837859;3.1369895948475
171;3.1386856829869028;3.1360196232599344;3.1370164152060305
172;3.138702486214803;3.1360519590405977;3.13704292483053
173;3.1387190963033555;3.136083921749956;3.13706912909002
174;3.1387355165634934;3.1361155178073825;3.1370950332305374
175;3.138751750230902;3.1361467534858143;3.137120642378638
176;3.1387678004681443;3.136177634915905;3.1371459615447796
177;3.138783670366716;3.1362081680900356;3.1371709956265863
178;3.1387993629490287;3.13623835886619;3.1371957494120095
179;3.13881488117033;3.136268212971704;3.137220227582382
180;3.1388302279205598;3.1362977360068847;3.1372444347153663
181;3.1388454060261424;3.136326933448515;3.1372683752878094
182;3.1388604182517237;3.13635581065324;3.137292053678505
183;3.1388752673018483;3.136384372860842;3.137315474170862
184;3.138889955822586;3.1364126251974116;3.137338640955486
185;3.1389044864031006;3.136440572678414;3.1373615581326826
186;3.138918861577175;3.136468220211658;3.137384229714872
187;3.138933083824681;3.1364955726001678;3.1374066596289363
188;3.1389471555730077;3.1365226345449644;3.1374288517184827
189;3.1389610791984413;3.1365494106477616;3.1374508097460416
190;3.1389748570275033;3.1365759054135727;3.1374725373951926
191;3.1389884913382464;3.136602123253236;3.137494038272624
192;3.13900198436151;3.136628068485866;3.1375153159101288
193;3.1390153382821375;3.1366537453412233;3.1375363737665394
194;3.1390285552401553;3.1366791579620137;3.1375572152296014
195;3.1390416373319163;3.136704310406116;3.137577843617791
196;3.139054586611208;3.1367292066487438;3.1375982621820753
197;3.1390674050903273;3.136753850584537;3.1376184741076214
198;3.139080094741124;3.1367782460295963;3.1376384825154533
199;3.1390926574960107;3.1368023967234504;3.137658290464056
200;3.139105095248944;3.136826306330968;3.137677900950937
201;3.1391174098563774;3.136849978444211;3.1376973169141364
202;3.139129603138184;3.1368734165842365;3.137716541233696
203;3.139141676878553;3.136896624202837;3.1377355767330815
204;3.1391536328268614;3.1369196046842425;3.1377544261805665
205;3.1391654726985174;3.1369423613467577;3.1377730922905744
206;3.139177198175781;3.136964897444366;3.13779157772498
207;3.1391888109085615;3.136987216168277;3.1378098850943763
208;3.139200312515192;3.137009320648434;3.137828016959304
209;3.13921170458318;3.1370312139549767;3.1378459758314445
210;3.139222988669938;3.1370528990996633;3.1378637641747793
211;3.1392341663034933;3.137074379037252;3.1378813844067173
212;3.139245238983179;3.1370956566668418;3.137898838899191
213;3.1392562081803024;3.1371167348331777;3.137916129979719
214;3.1392670753387986;3.137137616327919;3.1379332599324443
215;3.139277841875863;3.137158303890872;3.137950230999134
216;3.139288509182568;3.1371788002111862;3.1379670453801642
217;3.139299078624462;3.1371991079285224;3.1379837052354658
218;3.1393095515421514;3.1372192296341845;3.1380002126854523
219;3.1393199292518688;3.1372391678722225;3.138016569811919
220;3.139330213046023;3.137258925140503;3.138032778658916
221;3.1393404041937374;3.1372785038917548;3.1380488412336036
222;3.13935050394137;3.1372979065345823;3.138064759507077
223;3.1393605135130227;3.1373171354344542;3.1380805354151757
224;3.1393704341110364;3.1373361929146646;3.1380961708592667
225;3.139380266916471;3.1373550812572684;3.1381116677070087
226;3.1393900130895753;3.137373802703992;3.138127027793095
227;3.1393996737702428;3.137392359457121;3.138142252919979
228;3.1394092500784563;3.1374107536803644;3.1381573448585796
229;3.139418743114721;3.1374289874996935;3.138172305348965
230;3.1394281539604854;3.137447063004162;3.1381871361010263
231;3.139437483678553;3.137464982246707;3.1382018387951227
232;3.1394467333134815;3.137482747244919;3.1382164150827223
233;3.139455903891973;3.137500359981807;3.1382308665870164
234;3.1394649964232544;3.1375178224065317;3.1382451949035244
235;3.139474011899446;3.137535136435125;3.1382594016006795
236;3.1394829512959253;3.1375523039511934;3.1382734882204018
237;3.139491815571675;3.1375693268065983;3.138287456278656
238;3.13950060566963;3.1375862068221236;3.1383013072659947
239;3.1395093225170077;3.1376029457881236;3.13831504264809
240;3.1395179670256375;3.1376195454651565;3.138328663866249
241;3.139526540092277;3.1376360075846033;3.1383421723379197
242;3.1395350425989226;3.1376523338492674;3.13835556945718
243;3.139543475413111;3.1376685259339627;3.13836885659522
244;3.1395518393882154;3.1376845854860864;3.1383820351008094
245;3.139560135363734;3.137700514126178;3.1383951063007522
246;3.139568364165569;3.137716313448464;3.1384080715003337
247;3.139576526606302;3.1377319850213894;3.1384209319837537
248;3.139584623485461;3.137747530388139;3.1384336890145526
249;3.139592655589782;3.137762951067139;3.1384463438360224
250;3.139600623693463;3.1377782485525585;3.138458897671613
251;3.139608528558413;3.137793424314786;3.1384713517253253
252;3.139616370934496;3.137808479800902;3.1384837071820963
253;3.1396241515597665;3.137823416435142;3.138495965208176
254;3.139631871160702;3.137838235619342;3.1385081269514914
255;3.139639530452428;3.1378529387333796;3.1385201935420084
256;3.139647130138941;3.137867527135599;3.13853216609208
257;3.139654670913322;3.1378820021632343;3.138544045696789
258;3.1396621534579485;3.1378963651328133;3.1385558334342805
259;3.1396695784446997;3.1379106173405593;3.1385675303660885
260;3.139676946535158;3.1379247600627806;3.138579137537455
261;3.1396842583808047;3.137938794556251;3.138590655977642
262;3.139691514623214;3.137952722058584;3.138602086700235
263;3.139698715894238;3.137966543788592;3.1386134307034403
264;3.139705862816193;3.137980260946648;3.138624688970374
265;3.139712956002035;3.1379938747150278;3.1386358624693504
266;3.1397199960555398;3.1380073862582534;3.138646952154155
267;3.139726983571469;3.138020796723423;3.1386579589643184
268;3.1397339191357423;3.1380341072405353;3.138668883825381
269;3.139740803325598;3.1380473189228097;3.1386797276491523
270;3.1397476367097545;3.138060432866994;3.1386904913339646
271;3.1397544198485674;3.138073450153667;3.1387011757649224
272;3.139761153294181;3.1380863718475402;3.138711781814142
273;3.1397678375906795;3.1380991989977423;3.138722310340992
274;3.1397744732742336;3.1381119326381057;3.138732762192323
275;3.139781060873243;3.1381245737874464;3.1387431382026976
276;3.1397876009084773;3.138137123449832;3.1387534391946086
277;3.139794093893213;3.1381495826148496;3.138763665978699
278;3.139800540333368;3.1381619522578648;3.1387738193539754
279;3.1398069407276323;3.1381742333402785;3.1387839001080127
280;3.1398132955675977;3.1381864268097726;3.1387939090171617
281;3.1398196053378826;3.138198533600557;3.138803846846745
282;3.139825870516256;3.1382105546336065;3.138813714351254
283;3.139832091573758;3.1382224908168936;3.13882351227454
284;3.139838268974817;3.1382343430456197;3.1388332413500004
285;3.139844403177367;3.1382461122024363;3.1388429023007616
286;3.1398504946329586;3.138257799157665;3.138852495839858
287;3.139856543786871;3.138269404769513;3.1388620226704096
288;3.1398625510782208;3.1382809298842824;3.1388714834857896
289;3.139868516940068;3.1382923753365755;3.138880878969797
290;3.139874441799519;3.1383037419494966;3.138890209796818
291;3.1398803260778307;3.138315030534849;3.1388994766319893
292;3.139886170190508;3.13832624189333;3.138908680131357
293;3.1398919745474037;3.1383373768147176;3.1389178209420274
294;3.139897739552812;3.1383484360780582;3.138926899702323
295;3.1399034656055647;3.138359420451847;3.13893591704193
296;3.1399091530991217;3.1383703306942055;3.1389448735820413
297;3.139914802421662;3.1383811675530584;3.1389537699355032
298;3.139920413956171;3.1383919317663014;3.1389626067069516
299;3.1399259880805284;3.1384026240619716;3.1389713844929505
300;3.1399315251675914;3.1384132451584086;3.138980103882128
